# Kho khai cuoc — moi dong: ECO|ten tieng Viet|ten tieng Anh|cac nuoc UCI cach nhau bang dau cach
#
# Chi giu **bien chinh** cua nhung khai cuoc hay gap nhat, 6-12 nua nuoc moi
# dong. Muc dich khong phai phu het ly thuyet — muc dich la (1) goi ten van co
# dang choi, (2) cho may di khai cuoc tu te thay vi mo mam, va (3) co cai de
# luyen. Ai muon sau hon thi da co sach.
#
# Nuoc viet bang UCI vi ca app dung UCI; ky phap SAN chi dung de hien ra man.
C20|Ván cờ Vua|King's Pawn Game|e2e4 e7e5
C40|Phòng thủ Philidor|Philidor Defence|e2e4 e7e5 g1f3 d7d6 d2d4 e5d4 f3d4 g8f6
C41|Ván cờ Ý|Italian Game|e2e4 e7e5 g1f3 b8c6 f1c4
C50|Giuoco Piano|Giuoco Piano|e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4
C55|Phòng thủ Hai Mã|Two Knights Defence|e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d4 e5d4
C60|Ván cờ Tây Ban Nha|Ruy Lopez|e2e4 e7e5 g1f3 b8c6 f1b5
C65|Tây Ban Nha, biến Berlin|Ruy Lopez, Berlin Defence|e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4
C68|Tây Ban Nha, biến đổi quân|Ruy Lopez, Exchange|e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6
C84|Tây Ban Nha, biến chính|Ruy Lopez, Closed|e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7
C44|Ván cờ Scotland|Scotch Game|e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4
C33|Gambit Vua|King's Gambit|e2e4 e7e5 f2f4 e5f4 g1f3
C46|Ván cờ Ba Mã|Three Knights Game|e2e4 e7e5 g1f3 b8c6 b1c3
C47|Ván cờ Bốn Mã|Four Knights Game|e2e4 e7e5 g1f3 b8c6 b1c3 g8f6
C42|Phòng thủ Nga|Petrov Defence|e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4
B20|Phòng thủ Sicilia|Sicilian Defence|e2e4 c7c5
B21|Sicilia, gambit Smith-Morra|Sicilian, Smith-Morra Gambit|e2e4 c7c5 d2d4 c5d4 c2c3
B22|Sicilia, biến Alapin|Sicilian, Alapin|e2e4 c7c5 c2c3 d7d5 e4d5 d8d5
B23|Sicilia, đóng|Sicilian, Closed|e2e4 c7c5 b1c3 b8c6 g2g3
B27|Sicilia, biến Rồng gia tốc|Sicilian, Accelerated Dragon|e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g7g6
B30|Sicilia, biến Rossolimo|Sicilian, Rossolimo|e2e4 c7c5 g1f3 b8c6 f1b5
B50|Sicilia, biến Najdorf|Sicilian, Najdorf|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6
B70|Sicilia, biến Rồng|Sicilian, Dragon|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6
B80|Sicilia, biến Scheveningen|Sicilian, Scheveningen|e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6
B10|Phòng thủ Caro-Kann|Caro-Kann Defence|e2e4 c7c6 d2d4 d7d5
B12|Caro-Kann, biến tiến|Caro-Kann, Advance|e2e4 c7c6 d2d4 d7d5 e4e5 c8f5
B18|Caro-Kann, biến cổ điển|Caro-Kann, Classical|e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5
B01|Phòng thủ Scandinavia|Scandinavian Defence|e2e4 d7d5 e4d5 d8d5 b1c3 d5a5
C00|Phòng thủ Pháp|French Defence|e2e4 e7e6 d2d4 d7d5
C02|Pháp, biến tiến|French, Advance|e2e4 e7e6 d2d4 d7d5 e4e5 c7c5
C11|Pháp, biến cổ điển|French, Classical|e2e4 e7e6 d2d4 d7d5 b1c3 g8f6
