# Puzzle từ kho mở Lichess (CC0) — sinh bởi tool/build_puzzles.dart
# id|fen|các nước UCI|elo|chủ đề
E684g|r4r2/p1p2pkp/bp3np1/8/2Pq4/1B1n3P/PP1NQPP1/1K1R2NR w - - 5 18|g1f3 d4b2|399|mate,mateIn1,middlegame,oneMove,queensideAttack
V1c5p|r3k1r1/pp3p1p/4p3/2bpq3/7B/P4Q1P/1PP3P1/R4R1K b q - 2 18|c5d6 f3f7|399|attackingF2F7,mate,mateIn1,middlegame,oneMove
mUeLs|6kQ/1b3r1p/p2p2pP/2q3P1/2P1Rp2/1P1P4/P7/4K3 b - - 3 34|g8h8 e4e8 f7f8 e8f8|400|endgame,mate,mateIn2,short
QuGsU|5Rrk/7P/6PK/8/8/8/8/8 b - - 6 72|g8f8 g6g7|400|advancedPawn,endgame,mate,mateIn1,oneMove,rookEndgame
RMCt1|2R3k1/5ppp/p7/8/1P6/P2rb3/4KP2/8 b - - 1 32|d3d8 c8d8|400|backRankMate,endgame,hangingPiece,mate,mateIn1,oneMove
gN4yV|6k1/4R1pp/rp2p3/4P3/8/4B3/5PPP/6K1 w - - 0 27|e7e6 a6a1 e3c1 a1c1|400|backRankMate,endgame,mate,mateIn2,short
VySbD|3r2k1/p5p1/5n1p/1bp1r3/8/2P5/PP3PPP/RN2R1K1 w - - 0 20|e1e5 d8d1 e5e1 d1e1|402|backRankMate,endgame,mate,mateIn2,short
iSTLD|6k1/4rp1p/N4bp1/pP6/2P5/8/P2q1PPP/3R2K1 w - - 0 30|d1d2 e7e1|403|backRankMate,endgame,mate,mateIn1,oneMove
Xtymq|r4Q1k/p2n2pp/1p6/4P1q1/3p1R2/8/PPP3PP/5RK1 b - - 2 24|d7f8 f4f8 a8f8 f1f8|409|backRankMate,endgame,mate,mateIn2,short
mF872|R7/3Q1pkp/3bp1p1/3p4/3P4/2P2N1P/5PP1/3q2K1 w - - 1 30|f3e1 d1e1|413|endgame,hangingPiece,mate,mateIn1,oneMove
7gHFz|8/8/7p/2P5/6pk/3K4/8/8 b - - 0 55|h4h3 c5c6 g4g3 c6c7 g3g2 c7c8q|415|advancedPawn,crushing,endgame,long,pawnEndgame,promotion
cY4LP|1r2k3/1BB1npbp/4p1p1/1P6/P7/8/5PPP/3R2K1 b - - 4 25|b8b7 d1d8|423|endgame,mate,mateIn1,oneMove,operaMate
j7TpG|rn2r3/pp2qpk1/2pb3p/3p1B2/3P4/2N2Q1P/PPP2PP1/R4RK1 w - - 1 19|f1e1 e7e1 a1e1 e8e1|426|kingsideAttack,mate,mateIn2,middlegame,pillsburysMate,short
5GPAa|8/6p1/P4kB1/2r5/4R3/4pp1P/8/4K3 w - - 2 56|g6e8 c5c1|431|endgame,mate,mateIn1,oneMove
j7U6X|2r3k1/p1R2ppp/1p2pq2/3b4/QP1Pn3/P3B3/4BPPP/4R1K1 b - - 0 20|c8c7 a4e8|434|mate,mateIn1,middlegame,oneMove
l9Cma|8/3R3p/p1r1kpp1/1p2p3/8/8/PP3PPP/6K1 w - - 1 34|d7h7 c6c1|435|backRankMate,endgame,mate,mateIn1,oneMove,rookEndgame
lReXi|8/8/8/2p1P2K/p2p4/P2Pk3/8/8 b - - 0 53|e3d3 e5e6 d3d2 e6e7 c5c4 e7e8q|437|advancedPawn,crushing,endgame,long,pawnEndgame,promotion
G3J4F|q5k1/Q4ppp/6r1/1KR5/1P6/P2r4/5P1P/R7 b - - 27 48|a8a7 c5c8 d3d8 c8d8|437|backRankMate,endgame,master,mate,mateIn2,queenRookEndgame,short
86LYK|R4k2/2r2p1p/5K2/4P3/8/6P1/8/8 b - - 4 49|c7c8 a8c8|439|endgame,hangingPiece,mate,mateIn1,oneMove,rookEndgame
ZfsDj|r3r1k1/1p3ppp/p5n1/3R4/8/1P4Q1/P4PPP/3Rq2K w - - 1 24|d1e1 e8e1|439|backRankMate,endgame,mate,mateIn1,oneMove
7orD8|2r4k/pp4pp/8/4q3/1P2pp2/P6P/2Q3P1/3R3K b - - 1 32|c8c2 d1d8 e5e8 d8e8|440|backRankMate,endgame,mate,mateIn2,queenRookEndgame,short
hCjAB|r1N4k/6p1/3p1p1p/4pP2/1pP1P3/1P6/2q3PP/2R4K w - - 0 30|c1c2 a8a1 c2c1 a1c1|441|backRankMate,endgame,mate,mateIn2,short
lBMVm|5rk1/1b3ppp/p4R2/1p2r3/8/P1Np2R1/1PP3PP/7K w - - 0 23|c2d3 e5e1 f6f1 e1f1|442|endgame,mate,mateIn2,short
gyt19|3r4/1p1rnpk1/p4pp1/7p/3N4/Pq2PQ2/5PPP/3R2K1 w - - 0 28|d4b3 d7d1 f3d1 d8d1|443|backRankMate,endgame,mate,mateIn2,short
AdQ4C|r1b2rk1/p5pp/2p1p3/1p1pPq2/3Pp3/4P1PR/PPPQB1P1/2KR4 w - - 0 16|d1f1 f5f1 e2f1 f8f1 d2d1 f1d1|447|advantage,long,middlegame,queensideAttack
8UQSJ|rnbq1rk1/pp3ppp/2pbp3/6N1/2PPQ3/8/PP3PPP/R1B1KB1R b KQ - 2 9|h7h6 e4h7|449|mate,mateIn1,oneMove,opening
D9w5q|6k1/5ppp/2Qqp3/3p4/3PnP2/4r3/P3B1PP/1R4K1 b - - 0 22|d6c6 b1b8 c6c8 b8c8|450|backRankMate,endgame,mate,mateIn2,short
NLI49|r4k1r/pp1b1ppp/4p3/3qP3/5Q2/P7/1BP3PP/R4RK1 b - - 0 16|d7c6 f4f7|453|mate,mateIn1,middlegame,oneMove
l9CEP|5Q2/7p/p2p1p2/1p3Ppk/1P4P1/2q4P/7K/8 b - - 0 44|h5h4 f8h6|454|endgame,master,mate,mateIn1,oneMove,queenEndgame
CBBXt|b4rk1/1q1pbppp/2n1pn2/1p2P3/1P6/2PQ1N1P/2B2PP1/1NB1R1K1 b - - 0 16|f6d5 d3h7|457|kingsideAttack,mate,mateIn1,middlegame,oneMove
7z1sr|8/3R1p1k/3p3p/3P2pK/6R1/r6r/6P1/8 w - - 0 38|g2h3 a3h3 g4h4 h3h4|459|endgame,mate,mateIn2,rookEndgame,short
0EuUs|7k/1b4pp/p7/2b5/4q3/1BP1pR2/PP1r2PP/5Q1K b - - 4 25|e3e2 f3f8 c5f8 f1f8|466|mate,mateIn2,middlegame,sacrifice,short
